NUM_ORIGIN,NUM_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,LARGURA_ORIGIN,LARGURA_SUB,ALTURA_ORIGIN,ALTURA_SUB,CIRCULARIDADE_SUB,REGIAO_P,MEDIA_REGIAO_P,REGIAO_N,MEDIA_REGIAO_N,REGIAO_S,MEDIA_REGIAO_S,REGIAO_L,MEDIA_REGIAO_L,REGIAO_O,MEDIA_REGIAO_O,REGIAO_NO,MEDIA_REGIAO_NO,REGIAO_NL,MEDIA_REGIAO_NL,REGIAO_SO,MEDIA_REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_SL,QTD_REGIOES
10,20,131072,888,99.322509765625,1024,37,512,37,256,24,0.6346907387299211,Cinza,0.7747747747747747,Cinza,0.8108108108108109,Cinza,0.8896396396396397,Cinza,0.6921296296296297,Cinza,0.8796296296296297,Cinza,0.8472222222222222,Cinza,0.5092592592592593,Cinza,0.8703703703703703,Cinza,0.7685185185185185,9
10,21,131072,504,99.615478515625,1024,24,512,24,256,21,0.771030234122468,Cinza,0.8809523809523809,Cinza,0.8666666666666667,Cinza,0.9375,Cinza,0.8293650793650794,Cinza,0.9444444444444444,Cinza,0.9833333333333333,Cinza,0.9166666666666666,Cinza,0.9916666666666667,Cinza,0.8583333333333333,9
10,22,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,Cinza,0.7670454545454546,Cinza,0.5,Cinza,0.625,Cinza,0.5113636363636364,Cinza,0.7272727272727273,Cinza,0.7,Claro,0.7,Claro,0.55,Cinza,0.9,7
10,23,131072,464,99.64599609375,1024,29,512,29,256,16,0.719851353711439,Cinza,0.6573275862068966,Claro,0.5818965517241379,Cinza,0.6939655172413793,Cinza,0.7008928571428571,Claro,0.5044642857142857,Claro,0.7410714285714286,Cinza,0.6785714285714286,Claro,0.5178571428571429,Cinza,0.7321428571428571,5
10,24,131072,100,99.9237060546875,1024,10,512,10,256,10,0.589082310458828,Cinza,0.88,Cinza,0.86,Cinza,0.9,Cinza,0.96,Cinza,0.92,Cinza,0.52,Cinza,0.64,Cinza,0.52,Cinza,0.8,9
10,25,131072,216,99.835205078125,1024,18,512,18,256,12,0.7539822368615503,Cinza,0.5601851851851852,Claro,0.6296296296296297,Cinza,0.7314814814814815,Cinza,0.7407407407407407,Cinza,0.6018518518518519,Claro,0.7962962962962963,Cinza,0.6111111111111112,Cinza,0.6666666666666666,Cinza,0.7407407407407407,7
10,26,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,Cinza,0.8465909090909091,Cinza,0.9125,Cinza,0.85,Cinza,0.8863636363636364,Cinza,0.8522727272727273,Cinza,0.975,Cinza,1.0,Cinza,0.85,Cinza,0.9,9
10,27,131072,176,99.86572265625,1024,16,512,16,256,11,0.758464070002474,Cinza,0.8465909090909091,Cinza,0.9125,Cinza,0.85,Cinza,0.8863636363636364,Cinza,0.8522727272727273,Cinza,0.975,Cinza,1.0,Cinza,0.85,Cinza,0.9,9
10,28,131072,20,99.9847412109375,1024,20,512,20,256,1,0.14247585730565956,Cinza,0.55,Iguais,0,Iguais,0,Claro,0.8,Cinza,0.5,Iguais,0,Iguais,0,Iguais,0,Iguais,0,2
10,29,131072,1150,99.12261962890625,1024,46,512,46,256,25,0.5906882815957343,Cinza,0.6356521739130435,Cinza,0.6684782608695652,Cinza,0.6105072463768116,Cinza,0.8295652173913044,Claro,0.5391304347826087,Cinza,0.6811594202898551,Cinza,0.8768115942028986,Claro,0.605072463768116,Cinza,0.6304347826086957,7
