NUM_ORIGIN,NUM_SUB,NUM_SUB_SUB,AREA_ORIGIN,AREA_SUB,AREA_SUB_SUB,COMPRIMENTO_ORIGIN,COMPRIMENTO_SUB,COMPRIMENTO_SUB_SUB,LARGURA_ORIGIN,LARGURA_SUB,LARGURA_SUB_SUB,ALTURA_ORIGIN,ALTURA_SUB,ALTURA_SUB_SUB,CIRCULARIDADE_SUB,CIRCULARIDADE_SUB_SUB,AREA_SUB_ORIGINAL,AREA_SUBSUB_ORIGINAL,AREA_SUBSUB_SUB_IMAGEM,REGIAO_P,REGIAO_N,REGIAO_S,REGIAO_L,REGIAO_O,REGIAO_NO,REGIAO_NL,REGIAO_SO,REGIAO_SL,MEDIA_REGIAO_P,MEDIA_REGIAO_N,MEDIA_REGIAO_S,MEDIA_REGIAO_L,MEDIA_REGIAO_O,MEDIA_REGIAO_NO,MEDIA_REGIAO_NL,MEDIA_REGIAO_SO,MEDIA_REGIAO_SL
11,30,4,131072,11766,40,2048,106,21.313708305358887,512,106,8,256,111,5,0,0.8298757670884743,0.0897674560546875,0.00030517578125,0.003399626041135475,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,Cinza,2.0526315789473686,1.5,1.1538461538461537,1.7272727272727273,2.5,1.0,0.8,1.4,1.75
11,30,5,131072,11766,154,2048,106,40.62741661071777,512,106,11,256,111,14,0,0.015226547601691096,0.0897674560546875,0.0011749267578125,0.013088560258371578,Claro,Claro,Cinza,Cinza,Claro,Cinza,Claro,Cinza,Cinza,5.0,11.0,1.1428571428571428,6.666666666666667,9.833333333333334,11.333333333333334,17.0,2.0,1.3333333333333333
11,30,6,131072,11766,4,2048,106,8.0,512,106,2,256,111,2,0,0.7853981633974483,0.0897674560546875,3.0517578125e-05,0.0003399626041135475,Cinza,Claro,Cinza,Cinza,Cinza,Claro,Cinza,Cinza,Cinza,0.6,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
11,30,7,131072,11766,4,2048,106,5.656854152679443,512,106,2,256,111,2,0,0.7853981902804831,0.0897674560546875,3.0517578125e-05,0.0003399626041135475,Cinza,Claro,Cinza,Cinza,Cinza,Claro,Cinza,Cinza,Cinza,0.6,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
11,30,8,131072,11766,20,2048,106,16.485281229019165,512,106,5,256,111,4,0,0.04623992737770323,0.0897674560546875,0.000152587890625,0.0016998130205677375,Cinza,Cinza,Cinza,Claro,Claro,Claro,Claro,Cinza,Claro,1.1333333333333333,1.25,1.5,1.6666666666666667,1.3333333333333333,1.5,1.0,1.0,0.5
11,30,9,131072,11766,3198,2048,106,224.02438521385193,512,106,78,256,111,41,0,0.0007511739704124965,0.0897674560546875,0.0243988037109375,0.27180010198878124,Claro,Claro,Claro,Claro,Indefinido,Indefinido,Claro,Indefinido,Cinza,44.07692307692308,38.333333333333336,12.833333333333334,46.578947368421055,-1.0,-1.0,26.2,-1.0,5.9743589743589745
11,30,10,131072,11766,12,2048,106,12.828427076339722,512,106,4,256,111,3,0,0.6872354501543845,0.0897674560546875,9.1552734375e-05,0.0010198878123406426,Cinza,Cinza,Claro,Cinza,Claro,Claro,Cinza,Cinza,Claro,1.125,1.0,1.0,0.6,1.0,0.5,0.3333333333333333,0.5,0.5
11,30,11,131072,11766,16,2048,106,10.485281229019165,512,106,4,256,111,4,0,0.8001063873003664,0.0897674560546875,0.0001220703125,0.00135985041645419,Cinza,Claro,Claro,Cinza,Claro,Claro,Claro,Cinza,Claro,1.5,3.5,2.0,0.7142857142857143,1.6666666666666667,1.5,1.5,0.6666666666666666,1.0
11,30,12,131072,11766,5655,2048,106,249.09545290470123,512,106,87,256,111,65,0,0.001518936183394412,0.0897674560546875,0.04314422607421875,0.4806221315655278,Claro,Cinza,Claro,Claro,Indefinido,Indefinido,Cinza,Indefinido,Claro,103.23529411764706,72.61538461538461,44.58620689655172,37.2,-1.0,-1.0,79.6,-1.0,31.5
11,30,13,131072,11766,2,2048,106,6.828427076339722,512,106,2,256,111,1,0,0.26950604604736045,0.0897674560546875,1.52587890625e-05,0.00016998130205677376,Cinza,Indefinido,Indefinido,Cinza,Claro,Indefinido,Indefinido,Indefinido,Indefinido,0.3333333333333333,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
