ID_IMAGEM,ID_SUB_IMAGEM,X_POS,Y_POS,AREA_ORIGEM,AREA_SUB,AREA_SUB_ORIGINAL,COMPRIMENTO_ORIGEM,COMPRIMENTO_SUB,LARGURA_ORIGEM,LARGURA_SUB,ALTURA_ORIGEM,ALTURA_SUB,CIRCULARIDADE_SUB,DESVIO_PADRAO_SUB,QTD_REGIOES_ESCURO,QTD_REGIOES_CINZA,QTD_REGIOES_CLARO,QTD_REGIOES_IGUAIS,QTD_REGIOES_INDEFINIDO,QTD_REGIOES_ESCURO/CLARO,QTD_REGIOES_ESCURO/CINZA,QTD_REGIOES_CINZA/CLARO,REGIAO_P,MEDIA_REGIAO_P,REGIAO_N,MEDIA_REGIAO_N,REGIAO_S,MEDIA_REGIAO_S,REGIAO_L,MEDIA_REGIAO_L,REGIAO_O,MEDIA_REGIAO_O,REGIAO_NO,MEDIA_REGIAO_NO,REGIAO_NL,MEDIA_REGIAO_NL,REGIAO_SL,MEDIA_REGIAO_SL,REGIAO_SO,MEDIA_REGIAO_SO,QTD_REGIOES,QTD_REGIOES_VALIDAS,QTD_REGIOES_CONSECUTIVO,QTD_APARECIMENTO,CLASSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4,476,149,131072,88,0.067138671875,1024,38,512,11,256,8,0.62,164.3,3,4,0,0,0,2,0,0,ESCURO/CINZA,47.54545454545454,CINZA,100.0,ESCURO,95.45454545454545,CINZA,100.0,ESCURO,87.5,CINZA,90.0,CINZA,100.0,ESCURO/CINZA,43.0,ESCURO,100.0,2,9,1,1,0
320,4,476,149,131072,88,0.067138671875,1024,38,512,11,256,8,0.62,164.3,3,4,0,0,0,2,0,0,ESCURO/CINZA,47.54545454545454,CINZA,100.0,ESCURO,95.45454545454545,CINZA,100.0,ESCURO,87.5,CINZA,90.0,CINZA,100.0,ESCURO/CINZA,43.0,ESCURO,100.0,2,9,1,1,0
320,6,370,135,131072,143,0.109100341796875,1024,48,512,13,256,11,0.52,118.1,0,9,0,0,0,0,0,0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,9,9,8,1,0
320,7,394,134,131072,240,0.18310546875,1024,64,512,12,256,20,0.67,128.2,0,9,0,0,0,0,0,0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,9,9,8,1,0
320,7,394,134,131072,240,0.18310546875,1024,64,512,12,256,20,0.67,128.2,0,9,0,0,0,0,0,0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,9,9,8,1,0
320,7,394,134,131072,240,0.18310546875,1024,64,512,12,256,20,0.67,128.2,0,9,0,0,0,0,0,0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,CINZA,100.0,9,9,8,1,0
